,review,TF_UNIGRAM,IDF_UNIGRAM,TFIDF_UNIGRAM
20,"['spot', 'foto', 'cakep', 'foto', 'arah', 'telaga', 'warna', 'bersih', 'awat', 'tugas', 'ramah']","[0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.18181818181818182, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091]","[4.605497845174885, 2.718428196142505, 2.9190988916046567, 6.214935757608986, 3.324563999712821, 4.605497845174885, 3.506885556506776, 2.8827312474337816, 5.116323468940876, 2.996059932740785]","[0.41868162228862593, 0.24712983601295502, 0.26537262650951426, 0.5649941597826351, 0.6044661817659674, 0.41868162228862593, 0.31880777786425235, 0.2620664770394347, 0.4651203153582615, 0.2723690847946168]"
21,"['tempat', 'bagus', 'bbrp', 'tangga', 'kesana', 'bayar']","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]","[2.3437347467010947, 4.13549421592915, 5.116323468940876, 4.269025608553672, 4.13549421592915, 2.996059932740785]","[0.3906224577835158, 0.6892490359881915, 0.8527205781568126, 0.7115042680922787, 0.6892490359881915, 0.4993433221234641]"
22,"['lumayan', 'bagus', 'viewnya', 'biaya', 'masuk', 'bilang', 'mahal', 'ceu']","[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[2.3437347467010947, 6.214935757608986, 6.214935757608986, 6.214935757608986, 4.4231762883809305, 4.269025608553672, 4.828641396489095, 5.5217885770490405]","[0.29296684333763684, 0.7768669697011232, 0.7768669697011232, 0.7768669697011232, 0.5528970360476163, 0.533628201069209, 0.6035801745611369, 0.6902235721311301]"
23,"['bagus', 'awat']","[0.5, 0.5]","[2.718428196142505, 2.3437347467010947]","[1.3592140980712526, 1.1718673733505474]"
24,"['bersih', 'next']","[0.5, 0.5]","[2.9190988916046567, 6.214935757608986]","[1.4595494458023284, 3.107467878804493]"
25,"['akses', 'bagus', 'view', 'juara', 'parkir', 'harap', 'rapi', 'kamar', 'mandi', 'bbrp', 'bersih', 'bau', 'sedap', 'tiket', 'lokal', 'awat']","[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]","[4.605497845174885, 2.718428196142505, 2.3437347467010947, 4.017711180272766, 5.116323468940876, 2.9190988916046567, 6.214935757608986, 6.214935757608986, 6.214935757608986, 5.5217885770490405, 6.214935757608986, 3.324563999712821, 5.116323468940876, 6.214935757608986, 3.7300291078209855, 3.6499864001474487]","[0.28784361532343034, 0.16990176225890657, 0.14648342166881842, 0.25110694876704787, 0.31977021680880474, 0.18244368072529105, 0.3884334848505616, 0.3884334848505616, 0.3884334848505616, 0.34511178606556503, 0.3884334848505616, 0.2077852499820513, 0.31977021680880474, 0.3884334848505616, 0.2331268192388116, 0.22812415000921554]"
26,"['kecewa', 'dagang', 'loket', 'parkir', 'tugas', 'ngaku', 'tugas', 'ngomong', 'nyolot', 'toilet', 'ganti', 'pampers', 'anak', 'tetep', 'ngitung']","[0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.13333333333333333]","[4.4231762883809305, 4.605497845174885, 5.116323468940876, 5.116323468940876, 6.214935757608986, 6.214935757608986, 6.214935757608986, 6.214935757608986, 6.214935757608986, 6.214935757608986, 3.324563999712821, 6.214935757608986, 4.4231762883809305, 5.116323468940876]","[0.29487841922539537, 0.3070331896783257, 0.34108823126272503, 0.34108823126272503, 0.4143290505072657, 0.4143290505072657, 0.4143290505072657, 0.4143290505072657, 0.4143290505072657, 0.4143290505072657, 0.22163759998085472, 0.4143290505072657, 0.29487841922539537, 0.6821764625254501]"
27,"['indah', 'banget', 'pandang', 'untung', 'weekdays', 'rame', 'sayang', 'unjung', 'blum', 'sadar', 'lingkung', 'sampah', 'sera', 'sampah', 'emang', 'buang', 'sampah', 'sampah']","[0.05555555555555555, 0.05555555555555555, 0.05555555555555555, 0.05555555555555555, 0.05555555555555555, 0.05555555555555555, 0.05555555555555555, 0.05555555555555555, 0.05555555555555555, 0.2222222222222222, 0.05555555555555555, 0.05555555555555555, 0.05555555555555555, 0.05555555555555555, 0.05555555555555555]","[4.13549421592915, 6.214935757608986, 5.5217885770490405, 6.214935757608986, 2.4772661393256175, 4.828641396489095, 2.718428196142505, 6.214935757608986, 6.214935757608986, 3.575878427993727, 3.4423470353692043, 5.5217885770490405, 4.4231762883809305, 6.214935757608986, 6.214935757608986]","[0.22974967866273052, 0.34527420875605475, 0.30676603205828, 0.34527420875605475, 0.13762589662920097, 0.2682578553605053, 0.1510237886745836, 0.34527420875605475, 0.34527420875605475, 0.7946396506652726, 0.1912415019649558, 0.30676603205828, 0.2457320160211628, 0.34527420875605475, 0.34527420875605475]"
28,"['pesona', 'alam', 'indah', 'unjung', 'dagang', 'koreksi', 'sampah']","[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]","[3.506885556506776, 4.605497845174885, 2.4772661393256175, 6.214935757608986, 5.116323468940876, 3.575878427993727, 4.4231762883809305]","[0.5009836509295393, 0.6579282635964122, 0.35389516276080246, 0.8878479653727123, 0.7309033527058394, 0.5108397754276752, 0.6318823269115614]"
29,"['parkir', 'luas', 'tiket']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[4.4231762883809305, 3.324563999712821, 3.7300291078209855]","[1.4743920961269767, 1.1081879999042736, 1.2433430359403284]"
30,"['spot', 'foto', 'bagus', 'parkir', 'manajemenpengaturan', 'parkir', 'mobil', 'baik', 'saran', 'tugas', 'parkir', 'lengkap', 'radio', 'komunikasiht', 'arah', 'kendara', 'parkir', 'terimakasih']","[0.05555555555555555, 0.05555555555555555, 0.05555555555555555, 0.05555555555555555, 0.05555555555555555, 0.05555555555555555, 0.05555555555555555, 0.05555555555555555, 0.05555555555555555, 0.2222222222222222, 0.05555555555555555, 0.05555555555555555, 0.05555555555555555, 0.05555555555555555, 0.05555555555555555]","[4.605497845174885, 2.3437347467010947, 5.5217885770490405, 3.324563999712821, 5.5217885770490405, 6.214935757608986, 6.214935757608986, 6.214935757608986, 6.214935757608986, 3.324563999712821, 6.214935757608986, 6.214935757608986, 3.506885556506776, 6.214935757608986, 5.116323468940876]","[0.25586099139860474, 0.1302074859278386, 0.30676603205828, 0.1846979999840456, 0.30676603205828, 0.34527420875605475, 0.34527420875605475, 0.34527420875605475, 0.34527420875605475, 0.7387919999361824, 0.34527420875605475, 0.34527420875605475, 0.19482697536148752, 0.34527420875605475, 0.2842401927189375]"
31,"['lokasi', 'usaha', 'tangga', 'tangga', 'tangga', 'tanahfaktor', 'aman', 'lokasi', 'pagar', 'cocok', 'anak', 'lupa', 'pakai', 'jaket', 'tahan', 'angin', 'angin', 'kencang', 'dingin', 'inti', 'pandang', 'indah', 'latar', 'telaga', 'warna', 'mampir', 'batu', 'ratap']","[0.03571428571428571, 0.03571428571428571, 0.07142857142857142, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.07142857142857142, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571, 0.10714285714285714, 0.03571428571428571, 0.03571428571428571, 0.03571428571428571]","[4.828641396489095, 4.4231762883809305, 4.828641396489095, 4.4231762883809305, 4.4231762883809305, 4.269025608553672, 2.4772661393256175, 6.214935757608986, 5.5217885770490405, 6.214935757608986, 4.828641396489095, 4.4231762883809305, 5.116323468940876, 5.5217885770490405, 6.214935757608986, 4.4231762883809305, 2.718428196142505, 4.828641396489095, 5.5217885770490405, 6.214935757608986, 4.13549421592915, 2.8827312474337816, 6.214935757608986, 2.996059932740785]","[0.1724514784460391, 0.15797058172789036, 0.3449029568920782, 0.15797058172789036, 0.15797058172789036, 0.1524652003054883, 0.08847379069020062, 0.22196199134317807, 0.19720673489460858, 0.22196199134317807, 0.1724514784460391, 0.3159411634557807, 0.18272583817645985, 0.19720673489460858, 0.22196199134317807, 0.15797058172789036, 0.09708672129080376, 0.1724514784460391, 0.19720673489460858, 0.22196199134317807, 0.44308866599240887, 0.10295468740834934, 0.22196199134317807, 0.10700214045502802]"
32,"['dieng', 'indah', 'nyaman', 'dikunjungimasyarakatnya', 'ramah', 'senang']","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]","[2.659587696119572, 6.214935757608986, 2.4772661393256175, 3.6499864001474487, 4.605497845174885, 5.5217885770490405]","[0.4432646160199286, 1.0358226262681642, 0.4128776898876029, 0.6083310666912414, 0.7675829741958142, 0.92029809617484]"
33,"['bagus', 'nonton', 'sejarah', 'dieng', 'batu', 'pandang', 'telaga', 'warna', 'kota', 'dieng']","[0.1, 0.1, 0.2, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]","[2.3437347467010947, 4.4231762883809305, 2.659587696119572, 6.214935757608986, 5.116323468940876, 2.718428196142505, 4.13549421592915, 2.8827312474337816, 2.996059932740785]","[0.2343734746701095, 0.44231762883809306, 0.5319175392239144, 0.6214935757608986, 0.5116323468940877, 0.27184281961425055, 0.41354942159291497, 0.2882731247433782, 0.2996059932740785]"
